security_code,number_of_shares2
35260,5999494
35280,444310866
35290,16033551
35360,30325252
35370,3578476
35380,9339780
35390,26638650
35400,10000000
35410,21004730
35420,10279597
35430,45449990
35440,4594564
35450,9124984
35460,29945573
35470,9200520
35480,36410400
35490,31524114
35500,6287852
35510,8474612
35530,24498263
35560,9879500
35570,3011120
35580,11063180
35590,2238107
35600,2318041
35610,23646900
35620,3100520
35630,29012434
35640,43863100
35650,6632454
35660,2459896
35690,56090293
35710,12726807
35770,3335416
35780,1424366
35800,42903692
35830,2762976
35910,65178151
35930,30189938
35970,2883078
35980,14139091
36000,1376768
13820,761787
36040,5795634
36060,101128076
36070,8713677
36080,93998331
36110,9997148
36120,33286065
36220,6998887
36230,3187159
36240,5276767
36250,7250166
36260,84430630
36270,11483500
36280,3540169
36300,9785099
36320,236086942
36330,5195854
36340,2452817
36350,126403881
36360,16245884
36390,5139694
36400,5558468
36410,9893359
36450,5386385
36460,5478084
36470,14416881
36480,17816180
36490,25597267
36510,11772000
36520,3131331
36530,5382300
36550,6760461
36560,37531600
36570,37847066
36580,5532249
36600,64747092
36610,9026279
36620,19513638
36630,7199850
36640,19558308
36650,20821000
36660,19719800
36670,10316700
36680,127506031
36700,1196802
36710,1986412
36720,13996609
36730,87406537
36740,10252549
15690,1386000
36750,19562818
36760,21874594
36770,23670400
36780,12340948
36790,111063910
36800,15370100
36810,24172000
36820,6869416
36830,4850895
36860,20337200
36870,33007290
36880,25395498
36890,14612705
36900,6294019
36910,3430535
36920,8189941
36930,722600
36940,27511198
36950,1638520
36960,11036004
36970,14865240
36980,4905286
37080,13878617
37100,5140057
37110,14654255
37120,3349854
37190,18500495
37230,10279774
37260,6780700
37270,17118469
37330,5442657
37380,55728172
37390,5737264
37410,5119278
37440,8668632
37470,7185600
37500,6712630
37510,26874235
37530,9455588
37560,18249944
37580,23110454
37600,5223665
37620,19071641
37630,15140100
37650,711733122
37660,3496515
37680,3807600
37690,74295924
37700,12732499
37710,4179107
37720,8271868
37730,18267391
37740,45070489
37750,4913058
37760,53212225
37770,138385080
37780,36480056
37790,10472673
37820,41530300
37840,17717466
37870,2593067
37880,11519384
37910,4906958
37930,28389934
37940,17632403
37960,6901451
37980,5739933
37990,8502357
38000,8405141
38020,1605600
38030,2016241
38040,6492882
38070,38344300
38100,6792602
38140,2463500
38150,10078923
38160,2950202
38170,12336721
38220,8609160
38230,24294600
38240,903600
38250,56999200
38260,11008162
38300,7518609
38340,27805421
38350,22979136
38360,18783716
38370,9100656
38390,8197968
38400,28240000
38410,1924055
38420,2057167
38430,22195167
38440,15624137
38450,16031900
38470,1479713
38480,3012899
38490,1595400
38500,4954766
38510,5052353
38520,8020856
38530,16755509
38540,12521264
38560,5162566
38570,25558988
38580,10456955
38610,989619751
38630,115723013
38640,44661035
38650,189050432
38770,13351584
38780,10122969
38800,150092851
38910,10756685
38920,4949124
38950,7804679
38960,9974662
39000,15100112
39010,13150971
39020,40025997
39030,30116000
39040,15156436
39050,11904800
39060,3242345
39070,2888200
39080,4789768
39090,6776800
39100,5427688
39110,35382100
39120,9077837
39130,1915229
39140,6545387
39150,12304590
39160,15361302
39170,6599273
39180,4112624
39190,7625331
39200,5515539
39210,14815163
39220,6638171
39230,45303704
39240,5984787
39250,6729850
39260,30995637
39270,4215137
39280,8457846
39290,5928836
39300,2898092
39310,1792515
39320,13865840
39330,3836676
39340,5894413
39350,4793955
39360,1164658
39370,11483306
39380,238725788
39390,16043624
39400,5712435
39410,247589657
39430,3878221
39440,1089747
39450,1529075
39460,16345892
39470,9887062
39480,5782028
39500,19621512
39510,22326033
39520,4966986
39530,4811676
39540,4440039
39550,10294928
39560,5999940
39600,1469443
39610,2923358
39620,14051128
39630,26577636
39640,27521198
39650,5706946
39660,31599858
39670,5141928
39680,5731082
39690,7442961
39700,1964200
39740,1444936
39750,23553316
39760,1389950
39770,720000
39780,39961604
39790,3280499
39810,5877729
39830,8299906
39840,3715800
39850,10994112
39860,1536881
39870,5043929
39880,2572000
39890,18187013
39900,18910620
39910,9197126
39920,8457808
39930,26813600
39940,21919040
39950,10504240
39960,10756000
39970,3265084
39980,1266666
39990,4963457
40040,145874364
40050,1635013610
40080,13792116
40210,147782128
40220,7925976
40230,20265082
40250,8638726
40260,9151912
40270,23509324
40280,39965490
40310,9846854
40330,25131206
40410,30176195
40420,324735851
40430,69451610
40440,40470924
40450,131628894
40460,23201353
40470,57523519
40620,139721788
40630,415702150
40640,8187321
40780,16800907
40800,32531914
40820,24211593
40880,195761919
40910,432756985
40920,8796108
40930,6986232
40940,20047231
40950,120169962
40970,55204641
40980,3007754
40990,58420299
41000,5761236
41020,2251871
41070,5100343
41090,12912981
41120,7902011
41130,2866688
41140,39877653
41150,11476894
41160,18565837
41180,65221577
41190,1569957
41200,1369701
41240,1066294
41510,536892393
41820,213639727
41830,195057422
41850,220431196
41860,41671689
41870,22147947
41880,1419885843
41890,36940648
42020,326734108
42030,47060303
42040,464251227
42050,218498496
42060,65294438
42080,101041683
42120,44441508
42150,97371960
42160,19133063
42170,208221568
19790,34068716
42180,20721353
42200,64969504
42210,11916520
42220,3860450
42240,4609853
42280,45291245
42290,6929152
42310,20005868
42340,10974655
42350,6321767
42370,28574939
42380,8988110
42390,41449885
42400,5692640
42410,4380305
42420,2717061
42430,2322757
42450,11990002
42460,70853470
42470,1317346
42480,12528000
42490,16545115
42500,630000
42720,173144821
42740,4002535
42750,23673960
42820,44645498
42840,12297817
42860,10533120
42870,12706092
42880,3815649
42900,63950770
42930,126443060
42950,13259091
42980,20058470
42990,4873077
43010,17302001
43040,4774023
43070,233097847
43080,11633248
43100,9854339
43120,31158269
43160,3224928
43170,14328913
43180,18857403
43190,18503932
43200,7544266
43210,223433200
43230,5307520
43240,281895967
43260,40163969
43270,5977022
43310,12951680
43330,12102262
43340,8651128
43350,2389000
43360,2312527
43370,13702004
43410,3498203
43420,12252733
43430,19726941
43440,136162776
43450,42679155
43460,12791889
43470,77989896
43480,54696858
43490,338710
43500,30381485
43510,4259633
43550,10378995
43560,2855137
43610,1217819
43620,23747300
43640,8032921
43650,3236111
43660,10735745
43670,4891495
43680,35503798
43690,7811854
43800,2445357
43810,2302264
43820,6972314
43830,646540
43840,27701800
43850,150015845
43860,5617980
43870,2099050
43880,5038972
43890,5884200
43900,12239946
43910,3185966
43920,27986693
43930,3850365
43940,1320700
43950,5490000
43960,5034862
43970,7865677
43980,3982271
43990,17935650
44010,102983921
44030,84169886
44040,10225036
44060,37286347
44090,21328055
44100,25580545
44200,20341396
44210,1480000
44220,2802300
44230,49999939
44240,3302188
44290,2102300
44300,2336750
44310,9293900
44330,17899333
44340,1690000
44350,5418500
44360,12977900
44370,1652792
44380,1946200
44390,2400000
44400,1867000
44410,3215000
44420,7150000
44440,1627500
44450,1240000
44520,486671728
44610,10160886
44620,8154038
44630,15705851
44640,21740896
44650,5903626
44710,22044789
45020,1554781063
45030,1885836827
45060,397296303
45070,311287414
45080,560777611
45120,34707998
45140,28241217
45160,67354119
45170,11961606
45190,547360610
45210,39717962
45230,286520696
45240,4067453
45260,16390942
45270,113971083
45280,514120540
45300,82664225
45310,21826876
45340,39229986
45360,399135642
45380,8775603
45390,3595232
45400,76457731
45410,63739141
45430,742902716
45440,56957004
45470,46716379
45480,56403917
45490,36881788
45500,22394756
45510,28073775
45520,30799198
45530,49209117
45540,31152074
45550,43776784
45560,3689204
45570,5170809
45580,8396265
45590,47654658
45630,104530977
45640,153844600
45650,76375832
45680,647886641
45690,57285446
45700,8723460
45710,50162358
45720,10831335
45740,14344079
45750,6833650
45760,26275200
45780,542188440
45790,20397915
45810,79814655
45820,89182849
45830,31614354
45840,27641986
45850,15296450
45860,11989100
45870,123966948
45880,13930900
45910,14402900
45920,49733033
45930,49277178
45940,41993500
45950,9524617
45960,42302768
45970,105130795
45980,4369600
46110,28594772
46120,320784366
46130,257142934
46150,30977139
46160,996015
46170,60700886
46190,22010408
46200,31829164
46210,19218608
46230,4196220
46240,1906629
46250,6255983
46260,28309578
46270,7543477
46280,2696406
46290,4575280
46330,58399174
46340,58391511
46350,2702166
46360,23505335
46400,5177851
46410,19027955
46420,5769835
46440,9597635
46450,9911231
46490,5035555
46500,8954012
46510,47805223
46530,13439101
46570,4677818
46580,35092583
46590,8405373
46610,328781433
46620,15046580
24920,114284353
46640,2934880
46650,51613401
46660,154776146
46670,5542720
46680,26557026
46690,2269930
46710,10965722
46730,859359
46740,10940088
46760,231498995
46780,6709681
46790,4997054
46800,95261674
46810,107027789
46840,88950512
46850,1268554
46860,64224100
46890,5083756915
46900,841535
46940,42597263
46950,7792174
46960,9908774
46990,3595398
47040,138828688
47050,4134788
47070,5600449
47080,68920868
47090,11082832
47120,154231956
47140,147623669
47160,127910341
47180,15842870
47190,14040083
47200,8053133
47250,17611461
47260,19858721
47280,7580160
47320,252425961
47330,75164014
47340,7826410
47350,7785742
47360,5285834
47390,231029251
47430,27437997
47450,54291299
47460,9202193
47480,4997492
47500,6412889
47510,125944858
47520,4424831
47550,1352825962
47600,804235
47610,11199297
47620,8261596
47630,21312533
47640,34968800
47650,82892430
47660,10752882
47670,22468422
47680,189601252
47690,7731762
47700,6284784
47710,14426608
47720,16511117
47770,16513800
47790,29337700
47810,16078221
47830,7941368
47840,16175800
47920,18996667
48010,11265686
48090,9865243
48120,32582577
48130,38792054
48140,12706503
48160,40925835
48190,45955748
48200,35092694
48240,9743481
48250,10920253
48260,16446352
48270,4148900
48280,5857531
48290,40133000
48320,7852600
48330,20003115
48340,993000
48370,39876678
48380,11330797
48390,26991082
48400,7999507
48450,16956751
48470,26311167
48480,37158048
48490,45605616
48750,43061161
49010,409285351
49020,494655353
49110,399391928
49120,290665368
49140,19749016
49170,46785286
49180,3853174
49190,32739554
49200,2095856
49210,119957908
49220,57043517
49230,17911067
49250,3933575
49260,4277011
49270,221179303
49280,34156567
49290,7955597
49310,20581300
49510,22112456
49520,7830874
49550,12669398
49560,36249546
49570,10274686
49580,41450999
49600,16382783
49620,6322118
49630,30321361
49660,9001911
49670,78163163
49680,20639149
49700,7937222
49710,18970859
49720,8286076
49730,5771560
49740,120415600
49750,27141517
49760,1324033
49770,18373811
49780,71149141
49790,5412137
49800,60607200
49850,20232730
49870,25332786
49900,10593210
49920,27082466
49940,6925998
49950,958728
49960,125262509
49970,78775478
49980,16482939
49990,14935575
50080,12440248
50090,8304651
50100,19749255
50110,28671686
50130,13577341
50150,22957818
50170,77062489
50180,9591359
50190,291267661
50200,3319673039
50210,84307598
51010,160450611
51030,75848887
51040,3837614
51050,153923940
51080,730861179
51100,263007597
51210,23396855
51220,19040149
51420,15857055
51610,19578432
51620,4529044
51840,14364890
51850,16562961
51860,29171551
51870,9315367
51890,967594
51910,103828397
51920,30254886
51940,10857826
51950,45890883
51990,1269666
52010,221518314
52020,90574981
52040,4186507
52080,36218846
52100,10493125
52120,2055757
52140,96618955
52160,16142290
52170,773635
52180,24325462
52320,38571280
52330,122390364
52370,11403250
52610,5554394
52620,24664317
52680,13147543
52690,56447561
52710,1268922
52730,19725537
52770,7796581
52790,2896210
52800,7215141
52820,31284967
52830,1681037
52840,6118980
52850,983804
52870,2986112
52880,38089332
52900,9192007
53010,213153498
53020,11063631
53040,4065865
53100,20972819
53310,14369800
53320,169317280
53330,321780559
53340,208172263
53370,29665681
53410,1695086
53420,3607912
53430,23307768
53440,12343080
53510,9338574
53520,8424955
53550,1351653
53560,10405466
53570,21977743
53580,23551060
53630,44626429
53670,11935948
53800,353846
53810,11807372
53840,24648042
53860,7654926
53870,17251232
53880,14448148
53910,7623661
53930,66336569
53950,922138
54010,920523447
54060,362308265
54080,54137524
54100,14629739
54110,575847928
54230,136599344
54400,43459048
54440,66885353
54450,9327094
54460,3835481
54490,38921012
54510,29475620
54560,6999784
54580,3002412
54610,27572596
54630,82749073
54640,7851426
54710,42629494
54760,14656300
54800,154646949
54810,56225141
54820,19683041
54840,7528959
54860,427569911
54910,6694561
55410,19505619
55420,3343825
55630,146568067
56020,12532539
56030,3314463
56070,15219534
56090,5131750
56100,1354608
56120,3289975
56140,19658342
56310,73506026
